_seg_id,x,y,protein_0,protein_1,protein_2,protein_3,protein_4,protein_5,protein_6,protein_7,protein_8,protein_9,protein_10,protein_11,protein_12,protein_13,protein_14,protein_15,protein_16,protein_17,cell_type,region_type,cell_type_id,region_type_id,neighbor_label
136385,1554.7327000000005,1676.026253,12.26957561,23.60011955,14.10938434,11.56066946,10.15361626,79.38075314,13.8559474,16.95631358,33.61460203,30.28845003,1.429084381,2.47336924,3.280071813,433.6026332,1.463837418,0.095038852,0.022713688,794.1906754,immune,core,0,0,0
136415,250.23661999999968,1673.6422540000003,6.638157895,137.8108553,0.087171053,0.356907895,4.161184211,391.9292763,0.0,1.870065789,272.2730263,0.004934211,10.40789474,196.2401316,0.373355263,9.993421053,0.019736842,0.009868421,32.3125,278.9473684,immune,core,0,0,0
136416,1429.5575200000003,1670.061947,8.346110485,55.5264938,2.087936866,1.099210823,5.113866967,83.3167982,3.645997745,8.264937993,25.10822999,13.41713641,11.49379932,20.17587373,21.56482525,19.84667418,10.62570462,6.040586246,41.24239008,39.85343856,immune,core,0,0,0
136417,1872.79717,1670.9669809999996,5.238351254,72.99283154,3.082437276,2.575268817,3.453405018,306.4139785,0.0,0.544802867,181.2885305,42.01792115,7.67562724,45.62724014,115.1756272,188.0250896,0.003584229,0.001792115,147.1899642,242.8136201,immune,core,0,0,0
136456,1120.074919999999,1674.0814330000003,10.81751825,18.40145985,3.498175182,2.883211679,9.576642336,464.0273723,0.0,0.19047619,252.4304029,12.72161172,13.12591241,95.92153285,0.255474453,16.01642336,0.0,0.0,387.6624088,18.8229927,immune,core,0,0,0
136457,1769.3910799999994,1677.2099740000003,8.105532787,11.87602459,7.227459016,5.334016393,31.04526749,121.3374486,0.244855967,3.914285714,45.45408163,41.11326531,13.43047035,40.24130879,111.3916155,32.75766871,0.828571429,0.447959184,34.72040816,276.8704082,immune,core,0,0,0
136495,629.1403499999997,1675.126316,12.74273256,48.01889535,1.543604651,2.223837209,2.694767442,327.2311047,0.0,1.236918605,275.0101744,0.07122093,16.81540698,163.7965116,0.001453488,0.068313953,1.49127907,4.308139535,108.1468023,34.74709302,immune,core,0,0,0
136496,753.5074000000004,1674.8816070000005,5.676375405,156.2351672,0.581445523,0.481121899,3.59978425,423.4412082,0.0,1.993527508,301.2578209,0.0,0.336569579,188.8770227,0.003236246,35.68932039,0.574973031,1.019417476,146.0733549,81.30852211,immune,core,0,0,0
136497,994.6000000000004,1670.3928569999998,10.06410256,328.5213675,6.5,0.211538462,3.440677966,360.5572034,0.0,0.572033898,280.7690678,0.008474576,11.30084746,215.3305085,30.71610169,20.94279661,0.0,0.00856531,143.5802998,155.1498929,immune,core,0,0,0
136536,27.06931000000077,1671.5049499999996,2.171428571,86.85714286,0.085714286,0.011904762,0.397619048,228.1833333,46.88095238,2.55952381,163.0047619,0.0,20.24285714,3.811904762,0.297619048,297.0642857,8.251207729,5.838164251,32.65700483,43.99275362,immune,core,0,0,0
136572,6.836260000000038,1673.8654969999998,5.254666667,96.45066667,6.425333333,1.358666667,2.804,325.464,0.550666667,1.893333333,239.0946667,0.454666667,11.82266667,192.2506667,40.112,28.46533333,8.022696929,11.45260347,65.73564753,30.58477971,immune,core,0,0,0
136573,103.35714000000009,1677.3947369999996,8.604355717,24.67332123,9.074410163,3.598911071,12.5154265,359.508167,51.70961887,1.050816697,282.3774955,0.268602541,150.0635209,187.9637024,24.01451906,1.315789474,14.50998185,18.35571688,23.52450091,55.3430127,immune,core,0,0,0
136574,555.2294500000007,1676.0958899999996,7.838461538,17.80961538,4.826923077,4.95,9.671153846,350.1326923,0.0,1.1,262.9884615,0.915384615,36.61346154,123.2903846,0.023076923,0.538461538,0.955769231,3.748076923,130.6076923,36.21346154,immune,core,0,0,0
136602,225.3034200000002,1678.532051,5.898839138,34.53399668,2.388059701,4.222222222,3.077943615,403.3416252,0.0,2.900497512,343.2106136,0.0,6.099502488,221.9137645,2.28358209,0.212271973,0.0,0.0,0.0,528.7164179,immune,core,0,0,0
136603,926.8888900000002,1679.304843,8.043942993,99.68052257,1.604513064,1.850356295,23.13420428,319.8087886,0.0,2.01543943,293.5059382,0.0,2.420427553,255.5748219,0.0,0.0,1.918052257,1.937054632,40.29097387,207.391924,immune,core,0,0,0
136604,977.1954399999996,1676.9674269999996,12.63841808,137.9138418,2.426553672,1.305084746,3.991537377,424.135402,0.0,1.411847673,365.9365303,0.169252468,22.24823695,251.4781382,11.47672779,0.543018336,0.015536723,0.077683616,51.41101695,260.9378531,immune,core,0,0,0
136605,1050.3452799999995,1675.3387620000003,20.35546335,155.879668,1.163208852,0.323651452,4.508940853,455.5185695,0.0,0.71978022,295.5315934,1.523351648,56.71389271,175.6423659,0.004126547,0.136176066,0.001388889,0.081944444,73.75555556,353.4333333,immune,core,0,0,0
136639,73.25121000000036,1675.7004829999996,4.9425,20.8375,7.2125,5.5175,49.63480392,326.2377451,0.37254902,1.093137255,103.6102941,81.42647059,83.49754902,93.94852941,299.1911765,26.7377451,17.56862745,10.39460784,61.18382353,31.3627451,immune,core,0,0,0
136640,327.7929000000004,1676.278107,37.22888283,15.34332425,21.20435967,3.746594005,3.667574932,399.479564,0.0,0.103542234,286.4223433,7.790190736,247.986376,69.8119891,0.081743869,0.005449591,0.0,0.0,140.8882834,377.599455,immune,core,0,0,0
